,식단이름,만개의레시피이름,재료,만드는순서,만드는이미지
11,새우튀김,"새우튀김 레시피, 맛있는 새우요리",[재료] 생새우 50마리 밀가루 2/3컵 달걀 4개 빵가루 2컵 소금 & 후추 약간씩 케첩 & 파스타 소스 원하는 만큼,"['새우의 머리를 떼어준 다음, 껍질을 벗겨주세요. 그리고 등 쪽 2번째 마디를 찔러 안에 있는 내장을 빼주시면 OK. *머리는 육수로 활용하셔도 좋아요~ㅎㅎ (또는 파스타 만들 때라든가)', '꼬리 끝부분에 있는 삼각형 모양 물총은 잘라내 버려주세요. 안 그러면 펑펑 튈 수 있답니다.', '소금과 후추 아주 약간을 넣고 밑간을 한 번 해주시면 된답니다.', '밀가루 → 달걀물 → 빵가루를 골고루 입혀주세요.', '170~180도로 예열된 기름에 새우를 넣고 겉면이 노릇하게 익을 때까지 중불에서 튀겨주세요.', '완성된 튀김은 키친타월 위에 올려 기름기를 빼준 다음.', '케첩 또는 파스타 소스에 찍어 먹으면 더욱 맛있겠죠!']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/aa26658fe7a10e882a43711ee3ac9ab21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/a63d9b09d004e33889780ed4d558a65f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/cc912ee2acecc0cfc3b561b9ece2428a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/30bedc7e8e29e2e5777ff08f95ede2e01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/03269293abb6e9b6bc9e1863dd396d7d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/acae3d53c783ad9d6ac1c396cc385d051.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/05/54a79b0aa19e251f7a25329947c6fd351.jpg']"
12,표고부추계란국,라면포트로 간단하게 국끓이기6- 부추 계란국,[재료] 달걀 2개 부추(1cm 정도 두께묶음) 1줌 간장 0.5T 맛술 0.5T 멸치가루 1T 새우가루 0.5T 후추 2번톡톡 참기름 0.5T 물 250ml 한 컵 다진마늘 한 꼬집,"['1인분이면 부추를 모았을 때 1cm정도 두께면 돼요\n길이를 6cm정도 길이로 반 잘라주세요', '라면포트에 머그컵으로 물 한컵 250ml 부으시고 멸치가루 1T, 새우가루0.5T, 간장0.5T, 맛술0.5T,다진마늘 한꼬집 넣어주세요\n*새우가루는 없으면 다음에 넣으시면 돼요. 있으면 감칠맛이 더 나요\n*간장을 1인분이라 짜지않게 진간장으로 했어요', '라면포트를 키시고 부글부글 끓기 시작하면', '달걀 두개를 깨서 넣고 숫가락으로 노른자를 터트리면서 2,3번 저어주세요\n*많이 저어주시면 달걀이 물에 완전히 풀어지니 달걀이 몽글몽글 뭉칠수 있게 딱 2,3번만 저어주시고 그대로 두세요\n*이대로 1분간 끓여주세요', '부추를 넣고 1분끓이고 라면포트를 끄세요', '거품은 멸치가루에서 나온거라 걷어내지 않으셔도 돼요. 국물에 섞으면 다시 녹아요', '완성 :)']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/d509b439ece215b0e445e2923b0b711f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/629e649eaebf0797845f8c831b4a24fe1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/23f9fe96f69891e6f79888af6683c1ab1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/aca326c47600e47b53184184356b5f8c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/0c8fe3a74a75298268fe6b3f46d109981.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/692f29e2d0dcdabf899343dba41708a81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/17/0738eeda99a64b8281ab636f6f84932f1.jpg']"
13,가지찜,전자렌지로 가지찜 만들기 쉽고 간단한 10분밑반찬요리입니다.,[재료] 가지 4개 [간장소스] 간장 3스푼 다진마늘 1스푼 청고추 1개 참기름 1스푼 참깨 1스푼 홍고추 1개,"['가지의 꼭지부분을 칼로 다듬어 줍니다.\n다듬은후 깨끗하게 흐르는물에 씻어줍니다.', '가지를 반으로 썰어줍니다.\n이런모양으로 썰어두면 간장소스를 가지위에 올릴때 흡수도 잘되어서 좋습니다.', '전자렌지에 10분 돌려줍니다.뚜껑을 덮고 돌려주세요.\n전자렌지에 10분 돌릴동안 간장소스를 만들어봅시다.\n수분기가 날라가지않게 뚜껑을덮고 돌려줍니다.', '청고추 홍고추 반으로 갈라서 다져주세요.매운거를 좋아하시면 청양고추를 넣어주세요.\n청고추,홍고추', '다진홍고추 청고추위에 다진마늘1스푼 넣어주세요.\n다진마늘1스푼', '참기름1스푼 넣어주세요.\n참기름1스푼', '간장3스푼 넣어주세요.\n간장3스푼\n개인 취향에맞게 간조절을 해줍니다.싱겁게 드시고싶으시면 간장의 양을 줄여주세요.', '깨 1스푼 넣어주세요.\n깨1스푼', '간장소스의 재료를 섞어주세요.', '전자렌지에서 10분 쪄낸 가지위에 간장소스를 올려주세요.가지가 뜨거우니 조심해서 올려줍니다.\n간장소스,전자렌지로찐 가지', '골고루 간장소스를 가지위에 올려주세요.', '먹기좋은 사이즈로 가지를 잘라서 맛있게드세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/27cf09ae03c4c22147fa07e9cffa51261.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/2751a0aa29f703e3d760328cafb282711.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/fe2b6117cb71e573d524d68058482b9d1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/f286b841fec7f51bc49e4ddb038244c91.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/1337fb159f7fd6145a3a72aba1aa6f3e1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/3306a73cd8c36ab4073346524e547e051.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/4ba82928e65f388d18ca7c9322996b6f1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/7a0a07432d2e00f8737c5c034260a1ad1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/6514fcb6b46f812d4e696aefb7b41d291.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/a026a0fbe1981b4642995194384087d81.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/2b42ec3a726e78cfa69500148a3748e71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/05/c00c603fd75558e0a66d5febd9e802631.png']"
14,감자튀김,패스트푸드 감자튀김 사과 ?,[재료] 사과 1개 소금물 적당량,"['사과의 아래위를 잘라준다.', '칼로 사과 속을 도려낸다.', '사과가 변색하지 않도록 소금물에 담근다.', '사과속을 포테이토의 형태가 되도록 잘라서 소금물에 담근다.', '껍질을 좋아하는 디자인으로 잘라주고 다시 소금물에 담근다.', '포테이토 모양의 사과에 이쑤시개로 꼽아서 잘라낸 사과껍질의 아래 부분에 고정해 주면 완성!']","['http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/cf2f751dc309be7d5b5e33249e072d5a1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/17c5174778af4b654c07abe2b3c879d71.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/41584f3a72ec0aa5b93aac366db4727c1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/d467620e4e6927d35f63dd633ed77d5b1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/14f43e694b61bdab16d86e18156f91001.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/07/31/caf866305a4264b7373b4b28f97856e01.png']"
15,게볶음,#수미네반찬 #여경래셰프 #중국식양념게볶음만들기 #밥도둑으로 임명할 수 있는 중식양념게볶음,[재료] 게 2개 랍스타 다리 2개 양파 1/2개 대파 1대 다진마늘 2큰술 굴소스 1큰술 두반장 2큰술 고춧가루 2큰술 양조간장 2큰술 청주(맛술) 2큰술 달걀 5개,"['먼저 게는 게딱지를 떼어 내고 몸통을 4등분하거나 크기에 따라서 6등분을 해 줍니다. 보통 4등분해주시는 것이 가장 좋은 것 같아요. 그런데 게가 실하지 않은 경우에는 그냥 2등분만 해주셔도 됩니다. 그리고 냉동랍스타다리를 넣어 줄 예정입니다.', '오로지 들어가는 재료는 양파와 대파입니다. 대파는 1대를 1/2분으로 나눠서 반은 썰어 주시고 반은 다져 주세요. 양파는 다져 줍니다.', '다진 양파에 다진마늘을 넣어 주시고 역시 다진파도 넣어 줍니다.', '게의 비린맛을 제거하기 위해서 여경래셰프는 생강즙을 넣어 주었는데 저는 다진생강을 넣어 주었어요.', '그리고 간으로는 양조간장, 굴소스, 고춧가루, 두반장을 해 주었고요. 고춧가루는 두가지를 사용했습니다. 고운고춧가루와 굵은 고춧씨가 있는 고춧가루를 사용했습니다. 그리고 맛술이나 청주를 넣어 주시고는 잘 섞어 주세요.', '냉동랍스타다리는 가위를 이용해서 등분을 해 주시고요. 자른 게를 양념장에 넣어 줍니다. 그리고 위생장갑을 끼시고는 잘 섞어 주세요. 그래야 덜 다치실 수 있고 여름에 해산물을 직접 손으로 만지는 것은 안 좋기 때문입니다.', '달궈진 팬에 기름을 두르고 절반은 다져서 양념에 넣어 두고 나머지는 썰어서 파기름을 내어 줍니다.', '파기름이 완성되었다면 이제 양념에 무쳐낸 게와 랍스타다리를 넣고는 볶아 줍니다. 센불에서 볶다가 뚜껑을 닫아서 게들이 익도록 해주세요.', '게와 랍스타가 익으면 붉은빛을 선명하게 띠고 불투명해지지요. 그때는 뚜껑을 열고 다시 한번 잘 섞어 준 다음에 달걀 5개를 풀어서 재료 가장자리에 돌려 가면서 뿌려 줍니다. 그리고 재빠르게 풀어서 볶아 줍니다. 그럼 굳이 전분가룰 넣지 않아도 이렇게 걸쭉한 상태의 중국식 게볶음이 완성되는 것이죠. 결국 농도는 달걀이 맞춰 주는 것이지요.', '게에서 빠져나온 육수와 살들이 달걀볶음과 어우러져서는 밥에 비벼서 먹어도 맛있고 그냥 먹어도 맛있는 수미네반찬 여경래셰프의 중국식 게볶음인 완성됩니다']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/f5f5631d72265fc34bcb12e98dc3a0ad1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/d8300b69cb6ad71a5dff8a4fb2fcf96e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/c9cfa0cfee2f4a32956db4d882a7a8e81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/a96b974606f924163d083eb2655c7b751.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/d012e3229919c2496c4dd79c22d881d81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/39711f6c1a0c1bb7ff6d182bbeebf0551.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/d53cd5122af5df282e6359db6da011381.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/ea959f17bcd142794a2967c391d7caa81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/28f50780ec2c55429c0594ae712d999e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/c61b02ceb1f03b2776add0b1958a5c0e1.jpg']"
16,콩나물어묵무침,콩나물 어묵무침,[재료] 콩나물 150g 어묵 180g 양파 1/4개 당근채 30g 소금 1작은술 참기름 1작은술 통깨 1작은술 다진마늘 1작은술 다진파 1작은술 식용유 약간,"['콩나물과 어묵, 당근채, 양파를 준비해 주었습니다. 사진에 양파가 없는데 나중에 제가 넣었습니다.', '어묵은 가늘게 채 썰어 주었습니다.', '당근과 양파도 채 썰어 주었고요.', '콩나물은 뚜껑을 덮고 삶아서 찬물에 헹궈 아삭아삭한 식감을 살려 주었습니다.', '어묵은 끓는 물에 살짝 데치던가 뜨거운 물을 부어 부드럽게 만들어 주었습니다.', '볼에 데친 콩나물, 다진 파, 다진 마늘, 소금, 참기름, 통깨를 넣고 조물조물 무쳤습니다.', '달군 팬에 식용유를 살짝 두른 후 양파를 볶다가 투명해지면', '당근채를 넣고 볶았습니다. 요 과정이 귀찮으면 그냥 콩나물과 어묵 데친 것만 넣고 무쳐도 맛있습니다.', '양파, 당근채 볶은 것, 데친 어묵, 콩나물무침을 볼에 넣고 골고루 섞어 주면 끝.', '담백하지만 다소 밋밋한 콩나물과 감칠맛, 짠맛, 단맛 등이 풍부한 어묵이 만나면 누구나 좋아하는 반찬이 완성. 그냥 콩나물 보다 훨씬 맛있고 그냥 어묵볶음보다 제 기준으로 더 맛있는 콩나물 어묵 무침입니다. 두 재료가 서로 가지고 있지 않은 식감을 상호 보완해 주고 맛도 훨씬 업그레이드해주는 조합인 것 같습니다. 일단 아이들도 잘 먹고 채소 섭취도 하고 맛있는 어묵도 먹고 일석삼조 요리입니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/72ca529b1a8fa659b344036de7f943ff1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/d4fe25659de96e5c7c3ebd5e45bbaaa01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/4067ad294233954b89ba3b380e8247671.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/c759089527a263dffb9a1ed8db8dd2a51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/22bd9ba34b774236546c14c10e9feeba1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/6b66568d2b357199dd46fcc463035ddf1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/b598931a1261a52764233ce8ff3af26b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/9d8251733fd502ad9c5fc10217e655641.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/d5bd8a238296fb193e1e3995d628c61c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/03/22/96583c0e9b809803210f6b0c58b941b41.jpg']"
17,무초절이,무초절이,[재료] 무 500g 청양고추 2개 [양념] 식초 1/4컵 설탕 1/4컵 다진마늘 1T 소금 2/3T 물 1/4컵,"['재료준비! 고추는 보기좋게 청고추, 홍고추로 준비하면 좋습니다.', '무와 고추는 채썰어서 준비합니다.', '위의 양념을 모두 섞는다.', '양념을 골고루 버무리면 끝', '접시에 잘 담아냅니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2017/09/02/7db7b8bab1cca710c7da9531b8e1eba61.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/09/02/518233fa6a4cfd45e44bb30161f294911.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/09/02/021afa8263f90fa8d7eb99110df4fab21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/09/02/fad68cf7b4b99673a444a92ea8db59151.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2017/09/02/d6bba11726c6fbb557ef95d460357fa41.jpg']"
18,조개국,속까지 시원한 조개국 ★,[재료] 바지락 2줌 물 3종이컵 대파 1/4대 멸치 액젓 1/3숟가락 청양고추 1/2개 굵은 소금 약간,"['바지락은 잘 해감하고, 대파, 청양고추는 송송 썬다.', '물을 냄비에 넣고 바글 바글 끓으면 바지락을 넣고 끓인다.\n끓어 오르면 잡거품을 제거해요.', '불을 줄여 약불로 5분 정도 끓이고,액젓을 넣고, 부족한 간을 소금으로 한다.\n청양 고추, 대파를 넣고 불을 끈다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/05/02/66784de4eee17e62f20b490b82aa6ca71.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/02/a173e773fc9ecb1ffcb591e8ce65605f1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/02/d79956df6782922fb13b39e4b27fecdd1.png']"
19,오징어찌개,치킨가루 이용해 국물맛이 깔끔한 오징어찌개,[재료] 오징어 1마리 애호박 1/2개 양파 1개 대파 1뿌리 청양고추 1개 [양념] 다진마늘 2스푼 고춧가루 2스푼 간장 2스푼,"['오징어는 껍질 벗기고 손질해 한입크기로 썰고 야채도 준비해주세요\n밑국물로 사용할 치킨가루도 준비~', '냉비에 물3컵 붓고 끓이다 오징어를 먼저 넣고', '양파 애호박 고춧가루2스픈 치킨가루 1스픈 넣어 끓으면', '다진마늘 간장으로 간을하고 모자란 간은 소금으로 해주고', '대파 청양고추 넣어 마무리합니다', '즉석에서 육수없이도 얼큰하고 간단하게 끓이는 오징어찌게입니다']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/f2ea0171188c87b60ddd46ae163adcb21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/08bc65a32913a768924dc19c6d768cc91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/d3a6f8b3dc34e71284aac2e914ee07001.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/8152dd5ec3b9bf4e5fa6cfa4e8f281671.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/ec509041f961b7c3afd9a82d2b65d7f41.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/12/09/68ef43999a75295eb94561e9354e93381.jpg']"
20,배추국,뜨끈한 배추국,[재료] 배추잎 여러장 된장 [육수] 다시마 멸치 대파 건표고버섯,"['자 먼저 육수를 준비를 해주세요.\n다시마, 멸치,대파, 이번엔 건표고버섯, 이렇게 넣고 끓여 주세요~~', '육수는 대락 30분정도 끓여 주심 맛있게 끓여지니 30분후에는 다 건져내고,..\n된장을 풀고 , 청양고추 두어개를 집어 넣어 다시 끓여 주세요,,', '그냥 막 잘라 주어도 되구요\n잘게 이쁘게 잘라주어도 되어요,', '된장을 푼 물에 ~ 잘라준 배추를 넣어서 끓여 주세요\n전 대파도 같이 넣어 주었답니다.', '배추가 숨이 죽을때 까지 끓여 주심 되요.\n혹 싱겁다면 소금으로 간을 해주시구요~', '살짝 매콤한 맛도 나면서 배추에서 나오는 단맛과 구수한맛이 더해서 더 맛있는 배추국 완성!']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/c0f8ab0533527c80ba04433f9ab81e591.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/e953d678dc056e0b19ea146e333479c41.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/daa6161b8130d26f83ea767b266754f11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/a5a5347e7b90e654062536c47b9a4f3b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/f2d33aa69dcd1958fbde57868dd7ff161.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/04/c9cd72d108d49a9381dc54b67fb884131.jpg']"
21,쇠고기등심구이,쇠고기 등심구이 & 채소샐러드 만들기,[재료] 쇠고기등심 400g 양파 1개 붉은와인 1/3컵 허브소금 약간 무화과 샐러드용채소 메론장아찌 산초장아찌 명월초김치 부추김치 [양념] 올리브유 소금,"['두께가 1cm로 도톰하게 썰어진 한우를 기름기 떼어내 줍니다.', '팬에 올리브유 살짝 두르고 익혀주는데 양파도 같이 익혀주세요. 허브 소금 조금 뿌려주었어요.', '영양부추와 깻잎을 섞어주고 위에 아로니아 몇 개 얹어주면 더욱 멋져요.', '소금으로만 익힌 등심과 무화과 썰어 곁들입니다.', '잘 구워진 등심에 구운 오늘은 과일 곁들이면 완성']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/3e8b93622669ca139d438794e66794a91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/38d2ff66844662cc3438f4b8ab0996ae1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/b489f6b7fca128cc0dc07deb2a382cce1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/e0fa5d5eba1bc61500c025dcc82d9aa11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/19462e1c32be14e3278eda3a1a7eee3b1.jpg']"
22,배추국 콩가루,주말아침 콩가루 배추국 만들기!,[재료] 배추 4장 마른새우 2 된장 2 다진 마늘 0.5 날 콩가루 2 물 3컵 대파 1/4대 소금 약간,"['배추는 씻어 먹기 좋은 크기로 길쭉길쭉하게 자르고\n대파는 송송썬다', '물에 마른새우를 넣고 된장을 풀어서 끓인다', '배추를 넣어 줄기를 부드럽게 끓인다', '날 콩가루를 넣고 대파와 다진마늘을 넣은 후 소금으로 간을한다']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/3ceb0e828cd2c10ad93a01fee7abb7241.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/5b635f5fa8dbde7d7f97cf8b3e101c2f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/1a42f13042ebfe317131a43bed5f47751.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/11/3f8fd29ee0f3da2acd882b2da5ca55481.jpg']"
23,게맛살조림,"[인삼요리] 영양가득 ""삼김""",[재료] 김 3장 밥 2공기 깻잎 6장 계란 4개 우유 2큰술 베이컨 3줄 당근 1/3 인삼 2개 단무지 3줄 [인삼양념] 간장 2 올리고당 2 물 1.5 소금 1/3t 참기름 0.5t 부순 참깨 0.5t,"['재료를 준비해주세요.\n-인삼은 칫솔같은 솔로 살살 문질러서 씻어주세요.\n-당근과 인삼은 채썰기 해주세요.\n-계란은 우유2큰술을 넣고 계란물을 만들어주세요.\n-깻잎은 씻은뒤 물을 살살 털어주세요.', '인삼조림에 쓸 간장양념을 만들어주세요\n-올리고당2,간장2,물1.5\n(숫가락 계량입니다)\n올리고당이 잘 섞이도록 저어주세요.', '팬에 올리브유를 반숫가락 두른후\n채썬당근을 약불에 살짝 볶아주세요\n식도록 잠시 놓아주세요.\n약불로, 30초 ~ 40초 살짝만 볶아주세요. (소금은 한꼬집)', '팬에 올리브유 반숫가락 두른 후\n인삼을 넣고 볶아주세요 (30초)\n미리 준비해둔 간장양념을 넣어서 잘 섞이도록 뒤적여 줍니다.(30초)\n잘 섞이도록 해준뒤에는, 약불로 해둔채로 뚜껑을 덮어 양념이 잘베도록 1분가량 놓아주세요', '팬에 올리브유 반숫가락 두른후\n계란물을 부어주세요.\n- 몽글하게 익으면 뒤집어서 익혀주세요\n- 같은 방법으로 3장부쳐주세요\n-한김식혀주세요\n-계란말이 팬에 3장 계란 부쳐주기\n(없다면 조그만한 후라이 팬에해도 무관합니다)\n-약불로 예열후에 올리브유가 고루 잘 퍼지도록해준뒤 계란물을 부어주세요.', '베이컨도 앞뒤로 노릇노릇하게 구워주세요\n-김밥 말때는 수분기가 너무 많으면 김밥이 터지기때문에\n키친타올로 기름기와 수분을 살살 눌러가면서 닦아주세요', '모든 재료들이 식는동안 밥을 양념해주세요\n-소금 한꼬집, 참기름 0.5t, 부순참깨0.5t', '모든 재료들을 준비후\n김-밥-깻잎-계란-베이컨-단무지-당근-인삼조림-게맛살\n차곡차곡 올려주세요\n-계란은 반으로 접어서 하면 폭신한 식감을 느낄수 있습니다\n-김밥을 말때에는 처음 재료올린 곳과 말곳의 밥이 만날수 있도록 말아주세요.', '잘 말아진 김밥을 참기름을 살짝 바른후\n예쁘게 썰어주시고 그릇에 담아내면 끝!']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/6e7610a1627289bd0f6129d8472f4f071.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/ce524ab4ae395ebf4fde853ff98e58d11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/4abaac43ed01f3f5631b5851bcca52371.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/9fda74a897be55a3dbf7c21d8bcb03e71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/ea96615f8c0c7358d97d60d9fa98cc071.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/4654fda2ab83c4c9bddbd09d00e4939a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/22f3b19bed221f6a4ba32b163bb344ac1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/0d2a8b6c5ce0ee6e0fe72bb6da04b80b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/22/4896dd74a402bb5726005c024e8d156e1.jpg']"
